horizon,set,rmse,corr
tplus1,VAL,0.22912271320819855,0.9657929539680481
tplus2,VAL,0.39045968651771545,0.8937735557556152
tplus3,VAL,0.49732333421707153,0.829772412776947
tplus4,VAL,0.5650663375854492,0.7651967406272888
tplus5,VAL,0.6211913228034973,0.6949364542961121
tplus6,VAL,0.6779505610466003,0.6313075423240662
tplus1,TEST,0.18173334002494812,0.9825748205184937
tplus2,TEST,0.36342379450798035,0.9293699860572815
tplus3,TEST,0.5217663645744324,0.8519605398178101
tplus4,TEST,0.6633477807044983,0.7450142502784729
tplus5,TEST,0.7664490938186646,0.6345945000648499
tplus6,TEST,0.8511496782302856,0.5328107476234436
